instance,optimal_fvs,directed_BST_exact_fvs,directed_BST_exact_score,directed_IC_exact_fvs,directed_IC_exact_score,directed_MA_exact_fvs,directed_MA_exact_score,directed_brute_force_fvs,directed_brute_force_score,directed_fvs_check_fvs,directed_fvs_check_score
er_001131.txt,15.0,N/A,N/A,15.0,100.0,15.0,100.0,N/A,N/A,N/A,N/A
scale_free_001131.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
dag_001132.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001132.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
ego_001132.txt,15.0,N/A,N/A,15.0,100.0,15.0,100.0,N/A,N/A,N/A,N/A
er_001132.txt,14.0,N/A,N/A,14.0,100.0,14.0,100.0,N/A,N/A,N/A,N/A
scale_free_001132.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001133.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001133.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
ego_001133.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
er_001133.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
scale_free_001133.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
dag_001134.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001134.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
ego_001134.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
er_001134.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
scale_free_001134.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001135.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001135.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
ego_001135.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
er_001135.txt,17.0,N/A,N/A,17.0,100.0,17.0,100.0,N/A,N/A,N/A,N/A
scale_free_001135.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001136.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001136.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
ego_001136.txt,12.0,12.0,100.0,12.0,100.0,12.0,100.0,N/A,N/A,N/A,N/A
er_001136.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
scale_free_001136.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001137.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001137.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
ego_001137.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A,N/A,N/A
er_001137.txt,7.0,7.0,100.0,7.0,100.0,8.0,87.5,7.0,100.0,N/A,N/A
scale_free_001137.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
dag_001138.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001138.txt,3.0,3.0,100.0,3.0,100.0,3.0,100.0,3.0,100.0,N/A,N/A
ego_001138.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A,N/A,N/A
er_001138.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
scale_free_001138.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001139.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001139.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
ego_001139.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A,N/A,N/A
er_001139.txt,10.0,N/A,N/A,10.0,100.0,10.0,100.0,N/A,N/A,N/A,N/A
scale_free_001139.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001140.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001140.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
ego_001140.txt,16.0,N/A,N/A,16.0,100.0,16.0,100.0,N/A,N/A,N/A,N/A
